Date,Dividends,Stock Splits
2024-02-09 00:00:00-05:00,0.24,0.0
2024-05-10 00:00:00-04:00,0.25,0.0
2024-08-12 00:00:00-04:00,0.25,0.0
2024-11-08 00:00:00-05:00,0.25,0.0
