,Date,EBITDA,Gross Profit,Total Revenue,Operating Revenue
0,2023-12-31,97971000000.0,174062000000.0,307394000000.0,307394000000.0
1,2022-12-31,85160000000.0,156633000000.0,282836000000.0,282836000000.0
2,2021-12-31,103521000000.0,146698000000.0,257637000000.0,257637000000.0
3,2020-12-31,61914000000.0,97795000000.0,182527000000.0,182527000000.0
