,Date,EBITDA,Gross Profit,Total Revenue,Operating Revenue
0,2023-12-31,467462000.0,-15343000.0,387508000.0,387508000.0
1,2022-12-31,-624564000.0,-33671000.0,117753000.0,117753000.0
2,2021-12-31,11628000.0,116767000.0,159163000.0,159163000.0
3,2020-12-31,-7361000.0,-2558000.0,4357000.0,4357000.0
