,Date,EBITDA,Gross Profit,Total Revenue,Operating Revenue
0,2024-01-31,35583000000.0,44301000000.0,60922000000.0,60922000000.0
1,2023-01-31,5987000000.0,15356000000.0,26974000000.0,26974000000.0
2,2022-01-31,11351000000.0,17475000000.0,26914000000.0,26914000000.0
3,2021-01-31,5691000000.0,10396000000.0,16675000000.0,16675000000.0
