Date,Close,1_day_performance,week_performance,month_performance,3month_performance,6month_performance,1yr_performance,Ticker,quoteType,longName,sector,industry,website
2025-01-08 00:00:00-05:00,192.55,-0.3,-1.06,10.41,9.3,-5.48,3.53,TM,EQUITY,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,https://global.toyota/en
2025-01-08 00:00:00-05:00,71.57,-0.03,1.89,-2.84,30.92,19.71,49.04,WFC,EQUITY,Wells Fargo & Company,Financial Services,Banks - Diversified,https://www.wellsfargo.com
2025-01-08 00:00:00-05:00,59.2,0.46,0.68,-0.69,13.68,27.47,22.36,CSCO,EQUITY,"Cisco Systems, Inc.",Technology,Communication Equipment,https://www.cisco.com
2025-01-08 00:00:00-05:00,357.73,0.38,1.69,-0.11,-0.57,19.24,6.05,ACN,EQUITY,Accenture plc,Technology,Information Technology Services,https://www.accenture.com
2025-01-08 00:00:00-05:00,1049.08,-0.48,-1.04,-6.64,17.79,32.97,50.15,NOW,EQUITY,"ServiceNow, Inc.",Technology,Software - Application,https://www.servicenow.com
2025-01-08 00:00:00-05:00,302.85,0.27,2.28,1.01,13.32,30.56,63.95,AXP,EQUITY,American Express Company,Financial Services,Credit Services,https://www.americanexpress.com
2025-01-08 00:00:00-05:00,173.97,1.53,0.9,-7.07,15.65,43.9,47.46,BX,EQUITY,Blackstone Inc.,Financial Services,Asset Management,https://www.blackstone.com
2025-01-08 00:00:00-05:00,544.93,-0.13,4.75,4.7,-9.25,0.73,0.84,TMO,EQUITY,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,https://www.thermofisher.com
2025-01-08 00:00:00-05:00,223.18,-0.35,1.52,-4.93,1.0,29.59,44.45,IBM,EQUITY,International Business Machines Corporation,Technology,Information Technology Services,https://www.ibm.com
2025-01-08 00:00:00-05:00,127.86,0.77,1.7,-1.89,23.24,31.13,43.95,MS,EQUITY,Morgan Stanley,Financial Services,Capital Markets,https://www.morganstanley.com
2025-01-08 00:00:00-05:00,66.58,-0.09,1.62,-1.41,-14.56,-14.05,-1.29,AZN,EQUITY,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,https://www.astrazeneca.com
2025-01-08 00:00:00-05:00,286.9,-0.84,-1.03,-4.2,-4.89,16.13,1.02,MCD,EQUITY,McDonald's Corporation,Consumer Cyclical,Restaurants,https://www.mcdonalds.com
2025-01-08 00:00:00-05:00,146.54,0.78,-3.63,-7.91,-12.31,-8.58,-9.53,PEP,EQUITY,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,https://www.pepsico.com
