,Date,EBITDA,Gross Profit,Total Revenue,Operating Revenue
0,2025-09-30,144748000000.0,195201000000.0,416161000000.0,416161000000.0
1,2024-09-30,134661000000.0,180683000000.0,391035000000.0,391035000000.0
2,2023-09-30,125820000000.0,169148000000.0,383285000000.0,383285000000.0
3,2022-09-30,130541000000.0,170782000000.0,394328000000.0,394328000000.0
