No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
373,JEN,Jenoptik AG,1.29B,22.16,-1.42%,1.11B
374,HYQ,Hypoport SE,1.20B,181.5,3.30%,424.71M
375,2HQ,"Tilray Brands, Inc.",1.20B,1.33,-0.64%,734.16M
376,CEC,Ceconomy AG,1.20B,2.47,-1.59%,22.44B
377,NXU,Nexus AG,1.18B,68.5,0.44%,265.36M
378,COP,CompuGroup Medical SE & Co. KGaA,1.14B,21.98,-0.09%,1.19B
379,HBH,HORNBACH Holding AG & Co. KGaA,1.14B,73.1,2.81%,6.19B
380,YOU,About You Holding SE,1.13B,6.49,-0.15%,1.96B
381,PSM,ProSiebenSat.1 Media SE,1.12B,4.98,0.36%,3.94B
382,WUW,Wüstenrot & Württembergische AG,1.11B,12.06,1.86%,5.53B
383,LEN,Lenzing Aktiengesellschaft,1.11B,28.75,-1.03%,2.61B
384,KSB,KSB SE & Co. KGaA,1.10B,660.0,-,2.91B
385,KSB3,KSB SE & Co. KGaA,1.10B,598.0,-0.66%,2.91B
386,C43,Cosmo Pharmaceuticals N.V.,1.08B,67.0,-,185.36M
387,FYB,Formycon AG,1.07B,61.4,1.15%,60.80M
388,TIMA,ZEAL Network SE,1.05B,47.1,-3.29%,151.42M
389,ADV,Adtran Networks SE,1.04B,20.0,-0.25%,481.90M
390,EUZ,Eckert & Ziegler SE,1.03B,48.8,-1.05%,277.72M
391,NA9,Nagarro SE,1.02B,76.4,0.59%,947.15M
392,RHK,RHÖN-KLINIKUM Aktiengesellschaft,1.01B,15.4,1.99%,1.84B
393,WAC,Wacker Neuson SE,1.01B,14.74,-0.41%,2.36B
394,AOX,alstria office REIT-AG,960.66M,5.38,-,240.21M
395,5CV,CureVac N.V.,920.67M,3.94,-0.86%,65.86M
396,MUM,Mensch und Maschine Software SE,914.22M,53.8,-0.92%,350.17M
397,ECEA,Societatea Energetica Electrica S.A.,910.87M,12.0,-,2.16B
398,OHB,OHB SE,898.25M,48.1,2.56%,1.04B
399,PNE3,PNE AG,864.09M,11.44,0.35%,123.43M
400,SZG,Salzgitter AG,851.87M,15.92,1.08%,10.11B
401,DRW3,Drägerwerk AG & Co. KGaA,835.92M,49.3,3.35%,3.35B
402,DRW8,Drägerwerk AG & Co. KGaA,835.92M,41.9,2.20%,3.35B
403,SMHN,SÜSS MicroTec SE,818.15M,42.8,-6.24%,397.18M
404,QH9,"ADTRAN Holdings, Inc.",803.92M,10.0,8.53%,811.73M
405,VOS,Vossloh AG,800.84M,41.05,-0.97%,1.15B
406,TNIE,tonies SE,795.79M,7.0,0.29%,394.60M
407,BFSA,Befesa S.A.,785.60M,19.91,1.37%,1.19B
408,VBK,Verbio SE,767.19M,12.04,-0.99%,1.54B
409,YSN,secunet Security Networks Aktiengesellschaft,753.05M,117.2,0.69%,386.46M
410,GLJ,Grenke AG,750.14M,16.98,0.83%,527.47M
411,STM,Stabilus SE,743.47M,30.5,1.33%,1.31B
412,COK,Cancom SE,729.27M,23.14,-1.45%,1.72B
413,EIN3,Einhell Germany AG,726.95M,167.0,-,1.06B
414,CWC,CEWE Stiftung & Co. KGaA,712.06M,101.4,-0.98%,817.37M
415,ABS2,PORR AG,701.22M,17.7,-1.45%,6.21B
416,JST,JOST Werke SE,692.11M,46.45,-0.54%,1.13B
417,STO3,Sto SE & Co. KGaA,687.58M,107.0,-1.47%,1.66B
418,TGHN,Logwin AG,685.25M,238.0,0.85%,1.23B
419,PBB,Deutsche Pfandbriefbank AG,679.10M,5.05,0.40%,365.00M
420,SFQ,SAF-Holland SE,671.84M,14.74,0.68%,1.97B
421,MLP,MLP SE,669.99M,6.13,-0.49%,1.04B
422,EKT,Energiekontor AG,665.15M,48.0,-1.23%,254.65M
423,AGB2,AGRANA Beteiligungs-Aktiengesellschaft,656.13M,10.5,-2.78%,3.69B
424,SLYG,Shelly Group SE,633.69M,35.8,3.77%,95.71M
425,PAT,PATRIZIA SE,625.16M,7.28,0.41%,271.19M
426,ACT,AlzChem Group AG,618.72M,64.0,5.26%,563.55M
427,CHG,CHAPTERS Group AG,611.53M,28.4,6.77%,87.13M
428,SIS,First Sensor AG,605.92M,58.6,-,122.57M
429,GFT,GFT Technologies SE,585.75M,22.3,0.22%,862.16M
430,M8G,Verve Group SE,573.52M,3.07,2.85%,416.58M
431,MUB,Mühlbauer Holding AG,562.00M,39.6,-,462.26M
432,VH2,Friedrich Vorwerk Group SE,558.00M,27.9,-1.93%,438.55M
433,DEZ,DEUTZ Aktiengesellschaft,557.27M,4.11,2.29%,1.86B
434,MBB,MBB SE,556.66M,101.2,-1.17%,1.05B
435,ADN1,adesso SE,547.87M,84.9,-,1.27B
436,NBG6,NÜRNBERGER Beteiligungs-AG,543.74M,47.4,0.42%,4.60B
437,MUX,Mutares SE & Co. KGaA,540.16M,25.45,0.59%,5.21B
438,WSU,WashTec AG,537.97M,40.2,-2.19%,467.05M
439,INH,INDUS Holding AG,533.59M,20.7,1.22%,1.73B
440,DHR,"B&G Foods, Inc.",520.79M,6.56,-1.65%,1.75B
441,HABA,Hamborner REIT AG,518.97M,6.36,-0.31%,105.80M
442,S92,SMA Solar Technology AG,515.99M,14.92,-1.00%,1.63B
443,SLL,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft,505.09M,31.55,0.48%,574.27M
444,NOEJ,NORMA Group SE,504.70M,15.84,0.89%,1.18B
445,TTK,TAKKT AG,488.54M,7.62,0.13%,1.08B
446,SGL,SGL Carbon SE,487.25M,3.99,-2.33%,1.05B
447,SHF,SNP Schneider-Neureither & Partner SE,458.84M,62.8,-0.32%,236.60M
448,PCZ,ProCredit Holding AG,455.87M,7.86,1.55%,433.86M
449,2GB,2G Energy AG,450.29M,24.9,0.81%,360.90M
450,AUS,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,450.27M,11.11,-3.89%,1.54B
451,KCO,Klöckner & Co SE,443.89M,4.42,-0.67%,6.75B
452,DBAN,Deutsche Beteiligungs AG,439.57M,25.25,4.34%,108.68M
453,SYV,3D Systems Corporation,436.89M,3.18,-5.41%,398.04M
454,ETG,EnviTec Biogas AG,432.14M,29.3,0.69%,479.22M
455,AAD,Amadeus FiRe AG,421.54M,77.6,-0.51%,448.60M
456,VIB3,Villeroy & Boch AG,403.16M,15.55,2.30%,1.26B
457,BYW,BayWa Aktiengesellschaft,391.57M,22.0,-1.79%,21.81B
458,BYW6,BayWa Aktiengesellschaft,391.57M,10.6,1.53%,21.81B
459,IXX,init innovation in traffic systems SE,374.31M,37.8,-1.05%,245.89M
460,ZYE1,Addiko Bank AG,366.46M,19.0,1.60%,280.80M
461,FQT,Frequentis AG,366.24M,27.6,-,449.92M
462,D6H,DATAGROUP SE,364.92M,45.95,0.11%,533.81M
463,INS,Instone Real Estate Group SE,362.61M,8.38,-0.24%,454.06M
464,AB9,ABO Energy GmbH & Co. KGaA,359.61M,41.3,5.90%,291.52M
465,SBS,Stratec SE,355.56M,29.75,1.71%,250.54M
466,S9I,Stemmer Imaging AG,351.00M,53.2,-1.48%,113.27M
467,BVB,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,348.24M,3.16,-,549.04M
468,ILM1,Medios AG,338.26M,13.26,-2.07%,1.84B
469,PSAN,PSI Software SE,334.54M,21.7,0.46%,262.86M
470,VIH1,VIB Vermögen AG,316.99M,9.7,1.15%,97.76M
471,PSG,PharmaSGP Holding SE,314.14M,27.0,3.05%,114.00M
472,SUR,Surteco Group SE,310.11M,20.0,-,863.18M
473,TPE,PVA TePla AG,308.14M,14.41,1.48%,270.57M
474,HDD,Heidelberger Druckmaschinen Aktiengesellschaft,302.81M,1.0,-,2.25B
475,JDC,JDC Group AG,296.12M,22.4,2.28%,205.88M
476,F3C,SFC Energy AG,293.79M,17.12,1.18%,135.31M
477,M12,M1 Kliniken AG,290.39M,15.5,-0.96%,333.27M
478,A1OS,All for One Group SE,289.06M,59.4,1.71%,511.41M
479,O4B,OVB Holding AG,283.60M,19.9,-,392.74M
480,1FC,FACC AG,281.15M,6.14,0.49%,864.94M
481,BIJ,Bijou Brigitte modische Accessoires Aktiengesellschaft,276.77M,35.95,0.42%,331.32M
482,IJ8,ITM Power Plc,275.80M,0.46,-1.40%,19.34M
483,ZIL2,ElringKlinger AG,264.21M,4.17,-2.23%,1.79B
484,SKB,Koenig & Bauer AG,262.74M,15.92,0.25%,1.26B
485,ADE,Bitcoin Group SE,260.00M,51.5,-0.58%,6.33M
486,GTY,Gateway Real Estate AG,259.60M,1.53,221.43%,112.86M
487,IVU,IVU Traffic Technologies AG,259.13M,15.05,-,132.79M
488,SEW,Semperit Aktiengesellschaft Holding,257.17M,12.5,-1.11%,711.27M
489,MXHN,MAX Automation SE,256.53M,6.22,-,382.10M
490,HTG,HomeToGo SE,251.79M,2.08,-0.48%,200.22M
491,UZU,Uzin Utz SE,250.20M,49.6,0.81%,477.85M
492,ST5,STEICO SE,250.12M,18.24,-0.33%,366.87M
493,BKHT,Brockhaus Technologies AG,244.48M,23.6,0.85%,222.17M
494,ROI,Rosenbauer International AG,237.32M,34.1,-1.73%,1.21B
495,HAW,Hawesko Holding SE,230.87M,25.7,-0.77%,642.35M
496,0Q3,"Beyond Meat, Inc.",227.76M,3.55,-0.67%,289.73M
497,LPK,LPKF Laser & Electronics SE,224.94M,9.24,0.54%,132.96M
498,UBK,UmweltBank AG,219.89M,6.1,-,52.63M
499,T9Z,Zumtobel Group AG,215.45M,5.04,0.80%,1.13B
500,NVM,Novem Group S.A.,214.29M,5.1,2.41%,567.92M
